ID,Module_ID,Content_Order,Message_Type,Text,Title,Subtitle,ImageURL,LinkURL,Embed_ID,Type,Skill,Questions,AnswerOptions,RightAnswer,Right_Ans_Response,Wrong_Ans_Response
44,,,Button,,Program Management Methodology - PgMP Certification Overview,,https://i.ytimg.com/vi/jLMc-200LfU/hqdefault.jpg,https://www.youtube.com/watch?v=jLMc-200LfU,jLMc-200LfU,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
45,,,Button,,The Basics of Good Project Management,,https://i.ytimg.com/vi/5d16JwWwjKo/hqdefault.jpg,https://www.youtube.com/watch?v=5d16JwWwjKo,5d16JwWwjKo,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
46,,,Button,,What is Program & Project Portfolio Management?,"AIMS, UK",https://i.ytimg.com/vi/5JGvSzkzs2k/hqdefault.jpg,https://www.youtube.com/watch?v=5JGvSzkzs2k,5JGvSzkzs2k,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
47,,,Button,,Technical Program Management at Facebook,,https://i.ytimg.com/vi/Oy853gGAysw/hqdefault.jpg,https://www.youtube.com/watch?v=Oy853gGAysw,Oy853gGAysw,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
48,,,Button,,Top 13 Project Management Skills All Project Managers Need,,https://i.ytimg.com/vi/5Hi3t2bMN7A/hqdefault.jpg,https://www.youtube.com/watch?v=5Hi3t2bMN7A,5Hi3t2bMN7A,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
49,,,Button,,Agile Project Management,,https://i.ytimg.com/vi/nrfl6GAQy2s/hqdefault.jpg,https://www.youtube.com/watch?v=nrfl6GAQy2s,nrfl6GAQy2s,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
50,,,Button,,Six Metrics and KPI's for Successful Project Management,Project Management Software - Easy Projects,https://i.ytimg.com/vi/fA1qQwZ0nc4/hqdefault.jpg,https://www.youtube.com/watch?v=fA1qQwZ0nc4,fA1qQwZ0nc4,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
51,,,Button,,Project Management Tutorial: Introduction to Project Management,Project Management Tutorial: Introduction to Project Management,https://i.ytimg.com/vi/LQmZw-HrHeo/hqdefault.jpg,https://www.youtube.com/watch?v=LQmZw-HrHeo,LQmZw-HrHeo,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
52,,,Button,,"Project Management | Docs, Keep, Sheets, Calendar | The Apps Show","Project Management | Docs, Keep, Sheets, Calendar | The Apps Show",https://i.ytimg.com/vi/GI1htZgVfL8/hqdefault.jpg,https://www.youtube.com/watch?v=GI1htZgVfL8,GI1htZgVfL8,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
53,,,Button,,4 Top Project Financial Management Tips - Project Management Finance,4 Top Project Financial Management Tips - Project Management Finance,https://i.ytimg.com/vi/5DybRTTvrmY/hqdefault.jpg,https://www.youtube.com/watch?v=5DybRTTvrmY,5DybRTTvrmY,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
54,,,Button,,"How to Nail a Project Management Interview
",,https://i.ytimg.com/vi/v4zmB1fs_CQ/hqdefault.jpg,https://www.youtube.com/watch?v=v4zmB1fs_CQ,v4zmB1fs_CQ,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
55,,,Button,,Program Management Webinar Video,,https://i.ytimg.com/vi/5i1QI7XqrYs/hqdefault.jpg,https://www.youtube.com/watch?v=5i1QI7XqrYs,5i1QI7XqrYs,YouTube,Program_Management,Did you read this content,1:Yes|2:No|3:Maybe,1,,
57,,,Button,,Harvard i-lab | Startup Secrets: Go to Market Strategies,,https://i.ytimg.com/vi/rqi-n0hA4uo/hqdefault.jpg,https://www.youtube.com/watch?v=rqi-n0hA4uo,rqi-n0hA4uo,YouTube,Go_To_Market,Did you read this content,1:Yes|2:No|3:Maybe,1,,
58,,,Button,,The 7 Essential Elements of a Killer Go-to Market Strategy,,https://i.ytimg.com/vi/d8GYM6kNy10/hqdefault.jpg,https://www.youtube.com/watch?v=d8GYM6kNy10,d8GYM6kNy10,YouTube,Go_To_Market,Did you read this content,1:Yes|2:No|3:Maybe,1,,
59,,,Button,,Steve Jobs about go to market strategy,,https://i.ytimg.com/vi/3BNGMMc3Bgc/hqdefault.jpg,https://www.youtube.com/watch?v=3BNGMMc3Bgc,3BNGMMc3Bgc,YouTube,Go_To_Market,Did you read this content,1:Yes|2:No|3:Maybe,1,,
60,,,Button,,Go-To-Market Strategy Template,,https://i.ytimg.com/vi/cwCrvY2mBW4/hqdefault.jpg,https://www.youtube.com/watch?v=cwCrvY2mBW4,cwCrvY2mBW4,YouTube,Go_To_Market,Did you read this content,1:Yes|2:No|3:Maybe,1,,
61,,,Button,,Go-To-Market Strategy - Entrepreneurship 101 2013/14,,https://i.ytimg.com/vi/bfOcaG5e4pA/hqdefault.jpg,https://www.youtube.com/watch?v=bfOcaG5e4pA,bfOcaG5e4pA,YouTube,Product_Roadmap,Did you read this content,1:Yes|2:No|3:Maybe,1,,
62,,,Button,,3 Minute Product Manager: Long-term Product Roadmaps,,https://i.ytimg.com/vi/Yu_1EgETyko/hqdefault.jpg,https://www.youtube.com/watch?v=Yu_1EgETyko,Yu_1EgETyko,YouTube,Product_Roadmap,Did you read this content,1:Yes|2:No|3:Maybe,1,,
63,,,Button,,Product Roadmaps: Creating a Compelling Vision,,https://i.ytimg.com/vi/FpYGtA3lBsI/hqdefault.jpg,https://www.youtube.com/watch?v=FpYGtA3lBsI,FpYGtA3lBsI,YouTube,Product_Roadmap,Did you read this content,1:Yes|2:No|3:Maybe,1,,
64,,,Button,,"Product Roadmap Template
",,https://i.ytimg.com/vi/0v_usBHmjT0/hqdefault.jpg,https://www.youtube.com/watch?v=0v_usBHmjT0,0v_usBHmjT0,YouTube,Product_Roadmap,Did you read this content,1:Yes|2:No|3:Maybe,1,,
65,,,Button,,"Creating, Maintaining & Prioritizing a Product Roadmap",,https://i.ytimg.com/vi/570Rg4PUO24/hqdefault.jpg,https://www.youtube.com/watch?v=570Rg4PUO24,570Rg4PUO24,YouTube,Product_Roadmap,Did you read this content,1:Yes|2:No|3:Maybe,1,,
66,,,Button,,Creating Beautiful Simple Roadmaps,,https://i.ytimg.com/vi/BuA6qQB3vUc/hqdefault.jpg,https://www.youtube.com/watch?v=BuA6qQB3vUc,BuA6qQB3vUc,YouTube,Product_Roadmap,Did you read this content,1:Yes|2:No|3:Maybe,1,,
67,,,Button,,How to Manage Cross Functional Teams,,https://i.ytimg.com/vi/PSXNzFiCd5I/hqdefault.jpg,https://www.youtube.com/watch?v=PSXNzFiCd5I,PSXNzFiCd5I,YouTube,,Did you read this content,1:Yes|2:No|3:Maybe,1,,
68,,,Button,,Challenges with Cross-functional Teams - Stanford Advanced Project Management,,https://i.ytimg.com/vi/3C-vSl7P3X4/hqdefault.jpg,https://www.youtube.com/watch?v=3C-vSl7P3X4,3C-vSl7P3X4,YouTube,Cross_Functional_Teams,Did you read this content,1:Yes|2:No|3:Maybe,1,,
69,,,Button,,Cross-Functional teams,,https://i.ytimg.com/vi/B-1pzaKzYjA/hqdefault.jpg,https://www.youtube.com/watch?v=B-1pzaKzYjA,B-1pzaKzYjA,YouTube,Cross_Functional_Teams,Did you read this content,1:Yes|2:No|3:Maybe,1,,
70,,,Button,,"Best Practice in Creating Cross-Functional Teams
",,https://i.ytimg.com/vi/iq3v3fxjHXI/hqdefault.jpg,https://www.youtube.com/watch?v=iq3v3fxjHXI,iq3v3fxjHXI,YouTube,Cross_Functional_Teams,Did you read this content,1:Yes|2:No|3:Maybe,1,,
71,,,Button,,Category Management The Cross Functional Team ,,https://i.ytimg.com/vi/MipsEiKssl4/hqdefault.jpg,https://www.youtube.com/watch?v=MipsEiKssl4,MipsEiKssl4,YouTube,Cross_Functional_Teams,Did you read this content,1:Yes|2:No|3:Maybe,1,,
72,,,Button,,How To Write A Project Specification,,https://i.ytimg.com/vi/MCXi4KtRTG0/hqdefault.jpg,https://www.youtube.com/watch?v=MCXi4KtRTG0,MCXi4KtRTG0,YouTube,Cross_Functional_Teams,Did you read this content,1:Yes|2:No|3:Maybe,1,,
73,,,Button,,Importance of Design Specifications,,https://i.ytimg.com/vi/eOckdCUOrQA/hqdefault.jpg,https://www.youtube.com/watch?v=eOckdCUOrQA,eOckdCUOrQA,YouTube,Product_Specification,Did you read this content,1:Yes|2:No|3:Maybe,1,,
74,,,Button,,Sana Commerce - Product specifications,,https://i.ytimg.com/vi/OjRwkszJsoo/hqdefault.jpg,https://www.youtube.com/watch?v=OjRwkszJsoo,OjRwkszJsoo,YouTube,Product_Specification,Did you read this content,1:Yes|2:No|3:Maybe,1,,
75,,,Button,,Product Specifications & Quality Control Checks,,https://i.ytimg.com/vi/LoZ8zMxHPIU/hqdefault.jpg,https://www.youtube.com/watch?v=LoZ8zMxHPIU,LoZ8zMxHPIU,YouTube,Product_Specification,Did you read this content,1:Yes|2:No|3:Maybe,1,,
76,1,1,Text,"Hey, {User_Name} Lets discover Product Market  Fit",,Content,Image,,,,,,,,,
77,1,2,Text,"First lets begin with Why?Lets say you have a product to offer. You are spending lots of effort in getting people to use it. People use it sometimes, But it isnt taking off. The market is not pulling the product. You have to constantly spend time/money to get people to use it",,,,,,,,Do  you think you have a problem?,1:Yes|2:No,1,"So, You don’t have a Product Market Fit","Hmm, Don’t you think there is a problem if you need to keep pushing your prdict. You will eventually run out of steam and marketing dollars. Rigjt?"
79,1,3,Text,Let us look at what an ideal situation looks like. You created a product. Customers like what they see. They  find a real need  for it . and start using your product. They may even refer others  to your product.  You see your effort in getting people to use your product Is getting lower with time. The market is pulling your product,,,,,,,,Does that feel like and Ideal situation?,1:Yes|2:No,1,"Awesome, That’s whats its like to have a product market fit. Dosent it feel  awesome? Lets see  how you can get there",
81,1,4,Text,"Lets see a definition 
""Product/market fit means being in a good market with a product that can satisfy that market.” The term was coined by Mark Anderson a popolar VC",,,,,,,,,,,,
82,1,5,Text,"Another definition is ""creating a so called minimum viable product that addresses and solves a problem or need that exists""",,,,,,,,,,,,
83,1,6,Text,So lets try some examples,,,,,,,,You know when you havent reached product market fit when,"1:Customers are buying\using your product as fast as you can make it |2:People are refeing others to your procut without  you having to ask them|3:Reporters are writing about you and calling you about your product 
D.)One or  more of the above",3,,
86,1,7,Text,One More,,,,,,,,,"1: Customers are clear about what need your product solves|2:Customers don’t come back to use your product, customer don’t talk about your  product|3: you feel like the usage slows as soon as you stop pushing your ware
",Awesome,Try Again,
87,1,8,Text,A problem/solution fit is a desire of customers for a solution to a problem. This has nothing to do with your companie's product. A product Market fit is specific to your product addressinng that need and being a solution of choise,,,,,,,,,,,,
88,1,9,Text,How do you go about finding a product market fit? ,,,,,,,,,,,,
89,1,10,Text,"According to Alan Chiu at Standford School of Business, you may not be able to controll Timing, But you can control the product and its target market",,,,,,,,,,,,
90,1,11,Text,"You can control how you define your product, what goes in and what is left out. ",,,,,,,,,,,,
91,1,12,Text,"You can also control your target market, Who you want to sell your product to. ",,,,,,,,,,,,
92,1,13,Text,"Speak with lots of customers , understand their world and discover what your market should be.  May be you will find a different pain point.",,,,,,,,,,,,
93,1,14,Text,Here are 4 aspects that you can tweak for your product market fit. Again from Alan,,,,,,,,,,,,
94,1,15,Text,User: Product designers focus on this first. What is the job your user is trying to do and what interface will help your use achieve their goal,,,,,,,,,,,,
95,1,16,Text,Application: How does your product interface with other products up stream or down stream. So your product becomes part of the users daily habit.  ,,,,,,,,,,,,
96,1,17,Text,Data : What is the mimimum about oif data you need to deliver value to the user. And how you can deliver data to the user so they can  be successful in achieving their goal with that data,,,,,,,,,,,,
97,1,18,Text,Buyer: Understand the buyers purchasing decisions. Without undertanding this you cannot optimize the product to make it easy for the buyer to buy. For example If your customers need a a trial before they can buy. Having a self  serve trial will allow lots of customers to try to product increasing the potential for  more customer to buy your product,,,,,,,,,,,,
98,1,19,Text,"Thats ut, we have coverd the basics of Prodcut Market Fit. Ho head and try it out",,,,,,,,,,,,
99,,,Text,,,,,,,,,,,,,
100,2,1,Text,Lets discover Cross Functional Team Leadership,,,,,,,,,,,,
101,2,2,Text,Cross  Functional Team LeadershipWhat is it? It is the ability to effectively work with several teams responsible for different functions and achieve a expected result,,,,,,,,,,,,
102,2,3,Text,"So whats the big deal? Most cross functional teams don’t have a direct reporting structure , this means that you are working with teams that don’t neccessarirly report to you . You are responsible for  the out come but don’t have direct controll over the resourceses. Sounds fun:-)",,,,,,,,,,,,
103,2,4,Text,"Lets explore what you can do to become effective at leading cross functional teamsHere are the key aspects
1.) Build your team 2.) Define Responsibilites 3.) Agree on Milestones and outcome 4.) Define a communication model 5.)  Define a feedback model",,,,,,,,,,,,
104,2,5,Text,"Lets build your teamYou are  building a crossfunctional team with resources from different functions, Identify the goal and work with the key resources to difne what you need to achieve that goal. Then speak with peers to find out which resources can beft meet your nrrd",,,,,,,,,,,,
105,2,,Text,,,,,,,,,,,,,
106,2,,Text, ,,,,,,,,,,,,
107,3,,Text,"Say you are working on a product. And you need to bring together your thougts on theproduct . You need to think about the customer, the problem you are solving , how you will reach the customer etc",,,,,,,,,,,,
108,3,,Text,"How about write a business plan, or make a detaile presentation?No one reads those right!",,,,,,,,,,,,
109,3,,Text,"Further , when you are working with other people you want everyone to be on the same page. ",,,,,,,,,,,,
110,3,,Text,Having all off this on a single page can help drive clarity of thought both for you and your team.   ,,,,,,,,,,,,
111,3,,Text,"Futher , but forcing yourself to be brief, you will actually ensure you have thought about the diffent aspects ",,,,,,,,,,,,
112,3,,Text,This is what a business canvas does. It brings  together key aspects of your product approach on a single page.  ,,,,,,,,,,,,
113,3,,Text,"Here is an example of a Business Canvas , take a look",,,,,,,,,,,,
114,3,,Text,"Lets try this, Start working on your product canvas today",,,https://upload.wikimedia.org/wikipedia/commons/1/10/Business_Model_Canvas.png,,,,,,,,,
